transaction_id,customer_id,product_name,date,persona,quantity,unit_price,category,total_amount
TEST_TXN_001,CUST_0010,Protein Bars,2025-07-01,Fashion Conscious,1,56.17,Health & Beauty,56.17
TEST_TXN_001,CUST_0010,iPhone 15,2025-07-01,Fashion Conscious,1,1170.86,Electronics,1170.86
TEST_TXN_001,CUST_0010,Coffee,2025-07-01,Fashion Conscious,1,27.13,Food & Beverages,27.13
TEST_TXN_001,CUST_0010,Milk,2025-07-01,Fashion Conscious,1,5.43,Food & Beverages,5.43
TEST_TXN_001,CUST_0010,Shampoo,2025-07-01,Fashion Conscious,1,18.93,Health & Beauty,18.93
TEST_TXN_002,CUST_0014,iPhone 15,2025-07-03,Fashion Conscious,1,1099.36,Electronics,1099.36
TEST_TXN_002,CUST_0014,Jeans,2025-07-03,Fashion Conscious,1,111.59,Clothing,111.59
TEST_TXN_002,CUST_0014,MacBook Pro,2025-07-03,Fashion Conscious,1,2385.89,Electronics,2385.89
TEST_TXN_003,CUST_0009,Protein Bars,2025-07-20,Tech Enthusiast,1,52.17,Health & Beauty,52.17
TEST_TXN_003,CUST_0009,Jeans,2025-07-20,Tech Enthusiast,1,65.66,Clothing,65.66
TEST_TXN_004,CUST_0018,MacBook Pro,2025-07-06,Fashion Conscious,1,1830.86,Electronics,1830.86
TEST_TXN_004,CUST_0018,Shampoo,2025-07-06,Fashion Conscious,1,22.87,Health & Beauty,22.87
TEST_TXN_004,CUST_0018,Nike Shoes,2025-07-06,Fashion Conscious,1,99.81,Clothing,99.81
TEST_TXN_005,CUST_0002,Protein Bars,2025-07-03,Home Cook,1,28.75,Health & Beauty,28.75
TEST_TXN_005,CUST_0002,Book,2025-07-03,Home Cook,1,26.42,Books & Media,26.42
TEST_TXN_005,CUST_0002,MacBook Pro,2025-07-03,Home Cook,1,1359.48,Electronics,1359.48
TEST_TXN_006,CUST_0018,Nike Shoes,2025-07-24,Book Lover,1,81.55,Clothing,81.55
TEST_TXN_006,CUST_0018,Jeans,2025-07-24,Book Lover,1,110.99,Clothing,110.99
TEST_TXN_006,CUST_0018,T-Shirt,2025-07-24,Book Lover,1,33.56,Clothing,33.56
TEST_TXN_006,CUST_0018,Protein Bars,2025-07-24,Book Lover,1,48.67,Health & Beauty,48.67
TEST_TXN_007,CUST_0009,Protein Bars,2025-07-17,Fitness Enthusiast,1,64.42,Health & Beauty,64.42
TEST_TXN_007,CUST_0009,Coffee,2025-07-17,Fitness Enthusiast,1,13.09,Food & Beverages,13.09
TEST_TXN_007,CUST_0009,Milk,2025-07-17,Fitness Enthusiast,1,3.65,Food & Beverages,3.65
TEST_TXN_007,CUST_0009,Bread,2025-07-17,Fitness Enthusiast,1,4.52,Food & Beverages,4.52
TEST_TXN_008,CUST_0006,Bread,2025-06-26,Tech Enthusiast,1,3.31,Food & Beverages,3.31
TEST_TXN_008,CUST_0006,Coffee,2025-06-26,Tech Enthusiast,1,10.94,Food & Beverages,10.94
TEST_TXN_008,CUST_0006,Book,2025-06-26,Tech Enthusiast,1,90.0,Books & Media,90.0
TEST_TXN_008,CUST_0006,Jeans,2025-06-26,Tech Enthusiast,1,53.23,Clothing,53.23
TEST_TXN_009,CUST_0011,Jeans,2025-07-02,Tech Enthusiast,1,63.02,Clothing,63.02
TEST_TXN_010,CUST_0005,Jeans,2025-07-12,Fitness Enthusiast,1,87.51,Clothing,87.51
TEST_TXN_011,CUST_0015,T-Shirt,2025-07-12,Home Cook,1,48.07,Clothing,48.07
TEST_TXN_012,CUST_0009,AirPods Pro,2025-07-07,Home Cook,1,167.58,Electronics,167.58
TEST_TXN_012,CUST_0009,Jeans,2025-07-07,Home Cook,1,96.59,Clothing,96.59
TEST_TXN_013,CUST_0019,Coffee,2025-07-24,Home Cook,1,21.86,Food & Beverages,21.86
TEST_TXN_013,CUST_0019,Bread,2025-07-24,Home Cook,1,3.34,Food & Beverages,3.34
TEST_TXN_013,CUST_0019,T-Shirt,2025-07-24,Home Cook,1,35.33,Clothing,35.33
TEST_TXN_014,CUST_0009,AirPods Pro,2025-07-07,Book Lover,1,166.37,Electronics,166.37
TEST_TXN_015,CUST_0012,AirPods Pro,2025-06-28,Fitness Enthusiast,1,244.47,Electronics,244.47
TEST_TXN_015,CUST_0012,Jeans,2025-06-28,Fitness Enthusiast,1,66.79,Clothing,66.79
TEST_TXN_015,CUST_0012,iPhone 15,2025-06-28,Fitness Enthusiast,1,914.43,Electronics,914.43
TEST_TXN_016,CUST_0004,MacBook Pro,2025-07-02,Book Lover,1,2030.17,Electronics,2030.17
TEST_TXN_017,CUST_0017,AirPods Pro,2025-06-28,Fashion Conscious,1,160.13,Electronics,160.13
TEST_TXN_017,CUST_0017,Jeans,2025-06-28,Fashion Conscious,1,44.59,Clothing,44.59
TEST_TXN_017,CUST_0017,T-Shirt,2025-06-28,Fashion Conscious,1,25.23,Clothing,25.23
TEST_TXN_018,CUST_0010,Milk,2025-07-06,Tech Enthusiast,1,5.48,Food & Beverages,5.48
TEST_TXN_018,CUST_0010,Coffee,2025-07-06,Tech Enthusiast,1,20.07,Food & Beverages,20.07
TEST_TXN_018,CUST_0010,Jeans,2025-07-06,Tech Enthusiast,1,85.5,Clothing,85.5
TEST_TXN_018,CUST_0010,AirPods Pro,2025-07-06,Tech Enthusiast,1,235.25,Electronics,235.25
TEST_TXN_018,CUST_0010,MacBook Pro,2025-07-06,Tech Enthusiast,1,1633.15,Electronics,1633.15
TEST_TXN_019,CUST_0005,Nike Shoes,2025-07-22,Tech Enthusiast,1,131.8,Clothing,131.8
TEST_TXN_019,CUST_0005,Book,2025-07-22,Tech Enthusiast,1,76.68,Books & Media,76.68
TEST_TXN_019,CUST_0005,Shampoo,2025-07-22,Tech Enthusiast,1,14.48,Health & Beauty,14.48
TEST_TXN_019,CUST_0005,AirPods Pro,2025-07-22,Tech Enthusiast,1,166.35,Electronics,166.35
TEST_TXN_020,CUST_0006,Milk,2025-07-19,Home Cook,1,4.39,Food & Beverages,4.39
TEST_TXN_021,CUST_0005,MacBook Pro,2025-07-14,Home Cook,1,2336.47,Electronics,2336.47
TEST_TXN_021,CUST_0005,Nike Shoes,2025-07-14,Home Cook,1,150.56,Clothing,150.56
TEST_TXN_021,CUST_0005,Protein Bars,2025-07-14,Home Cook,1,53.66,Health & Beauty,53.66
TEST_TXN_021,CUST_0005,Bread,2025-07-14,Home Cook,1,2.99,Food & Beverages,2.99
TEST_TXN_022,CUST_0003,T-Shirt,2025-06-27,Home Cook,1,27.04,Clothing,27.04
TEST_TXN_022,CUST_0003,Nike Shoes,2025-06-27,Home Cook,1,91.32,Clothing,91.32
TEST_TXN_023,CUST_0018,T-Shirt,2025-07-11,Book Lover,1,49.75,Clothing,49.75
TEST_TXN_024,CUST_0002,Nike Shoes,2025-07-10,Tech Enthusiast,1,190.64,Clothing,190.64
TEST_TXN_024,CUST_0002,iPhone 15,2025-07-10,Tech Enthusiast,1,942.23,Electronics,942.23
TEST_TXN_024,CUST_0002,Milk,2025-07-10,Tech Enthusiast,1,4.47,Food & Beverages,4.47
TEST_TXN_025,CUST_0003,Nike Shoes,2025-06-30,Tech Enthusiast,1,119.77,Clothing,119.77
TEST_TXN_026,CUST_0014,Book,2025-07-17,Fashion Conscious,1,75.57,Books & Media,75.57
TEST_TXN_026,CUST_0014,Protein Bars,2025-07-17,Fashion Conscious,1,29.74,Health & Beauty,29.74
TEST_TXN_026,CUST_0014,Coffee,2025-07-17,Fashion Conscious,1,22.69,Food & Beverages,22.69
TEST_TXN_026,CUST_0014,MacBook Pro,2025-07-17,Fashion Conscious,1,1658.69,Electronics,1658.69
TEST_TXN_027,CUST_0010,AirPods Pro,2025-07-20,Fitness Enthusiast,1,152.82,Electronics,152.82
TEST_TXN_027,CUST_0010,iPhone 15,2025-07-20,Fitness Enthusiast,1,1196.88,Electronics,1196.88
TEST_TXN_028,CUST_0002,Bread,2025-07-17,Tech Enthusiast,1,4.07,Food & Beverages,4.07
TEST_TXN_028,CUST_0002,Jeans,2025-07-17,Tech Enthusiast,1,76.88,Clothing,76.88
TEST_TXN_029,CUST_0005,Coffee,2025-07-23,Home Cook,1,24.26,Food & Beverages,24.26
TEST_TXN_029,CUST_0005,Protein Bars,2025-07-23,Home Cook,1,37.68,Health & Beauty,37.68
TEST_TXN_029,CUST_0005,Book,2025-07-23,Home Cook,1,69.82,Books & Media,69.82
TEST_TXN_029,CUST_0005,iPhone 15,2025-07-23,Home Cook,1,906.9,Electronics,906.9
TEST_TXN_029,CUST_0005,AirPods Pro,2025-07-23,Home Cook,1,164.68,Electronics,164.68
TEST_TXN_030,CUST_0006,Milk,2025-06-28,Fashion Conscious,1,3.9,Food & Beverages,3.9
TEST_TXN_030,CUST_0006,Jeans,2025-06-28,Fashion Conscious,1,62.58,Clothing,62.58
TEST_TXN_030,CUST_0006,iPhone 15,2025-06-28,Fashion Conscious,1,895.82,Electronics,895.82
TEST_TXN_031,CUST_0008,T-Shirt,2025-07-22,Fitness Enthusiast,1,48.72,Clothing,48.72
TEST_TXN_032,CUST_0013,Coffee,2025-06-28,Home Cook,1,17.93,Food & Beverages,17.93
TEST_TXN_032,CUST_0013,iPhone 15,2025-06-28,Home Cook,1,887.88,Electronics,887.88
TEST_TXN_033,CUST_0020,Shampoo,2025-07-04,Fashion Conscious,1,21.88,Health & Beauty,21.88
TEST_TXN_033,CUST_0020,Coffee,2025-07-04,Fashion Conscious,1,28.91,Food & Beverages,28.91
TEST_TXN_034,CUST_0014,Milk,2025-06-29,Fashion Conscious,1,3.6,Food & Beverages,3.6
TEST_TXN_034,CUST_0014,Jeans,2025-06-29,Fashion Conscious,1,41.19,Clothing,41.19
TEST_TXN_034,CUST_0014,iPhone 15,2025-06-29,Fashion Conscious,1,825.27,Electronics,825.27
TEST_TXN_034,CUST_0014,Bread,2025-06-29,Fashion Conscious,1,4.71,Food & Beverages,4.71
TEST_TXN_035,CUST_0011,MacBook Pro,2025-07-21,Home Cook,1,1531.32,Electronics,1531.32
TEST_TXN_035,CUST_0011,Nike Shoes,2025-07-21,Home Cook,1,133.9,Clothing,133.9
TEST_TXN_035,CUST_0011,Jeans,2025-07-21,Home Cook,1,97.28,Clothing,97.28
TEST_TXN_035,CUST_0011,T-Shirt,2025-07-21,Home Cook,1,20.22,Clothing,20.22
TEST_TXN_035,CUST_0011,Coffee,2025-07-21,Home Cook,1,14.37,Food & Beverages,14.37
TEST_TXN_036,CUST_0001,AirPods Pro,2025-07-24,Fitness Enthusiast,1,233.5,Electronics,233.5
TEST_TXN_036,CUST_0001,Protein Bars,2025-07-24,Fitness Enthusiast,1,67.12,Health & Beauty,67.12
TEST_TXN_036,CUST_0001,T-Shirt,2025-07-24,Fitness Enthusiast,1,50.06,Clothing,50.06
TEST_TXN_036,CUST_0001,Shampoo,2025-07-24,Fitness Enthusiast,1,9.01,Health & Beauty,9.01
TEST_TXN_036,CUST_0001,iPhone 15,2025-07-24,Fitness Enthusiast,1,838.5,Electronics,838.5
TEST_TXN_037,CUST_0004,Shampoo,2025-07-23,Home Cook,1,19.51,Health & Beauty,19.51
TEST_TXN_037,CUST_0004,Protein Bars,2025-07-23,Home Cook,1,40.57,Health & Beauty,40.57
TEST_TXN_037,CUST_0004,Jeans,2025-07-23,Home Cook,1,64.19,Clothing,64.19
TEST_TXN_037,CUST_0004,AirPods Pro,2025-07-23,Home Cook,1,224.64,Electronics,224.64
TEST_TXN_037,CUST_0004,Coffee,2025-07-23,Home Cook,1,11.99,Food & Beverages,11.99
TEST_TXN_038,CUST_0001,Coffee,2025-07-10,Book Lover,1,28.35,Food & Beverages,28.35
TEST_TXN_038,CUST_0001,Protein Bars,2025-07-10,Book Lover,1,61.69,Health & Beauty,61.69
TEST_TXN_038,CUST_0001,Nike Shoes,2025-07-10,Book Lover,1,95.64,Clothing,95.64
TEST_TXN_038,CUST_0001,Bread,2025-07-10,Book Lover,1,2.32,Food & Beverages,2.32
TEST_TXN_039,CUST_0019,Shampoo,2025-06-25,Tech Enthusiast,1,14.16,Health & Beauty,14.16
TEST_TXN_039,CUST_0019,Nike Shoes,2025-06-25,Tech Enthusiast,1,138.11,Clothing,138.11
TEST_TXN_040,CUST_0016,MacBook Pro,2025-07-14,Fitness Enthusiast,1,1451.01,Electronics,1451.01
TEST_TXN_040,CUST_0016,Protein Bars,2025-07-14,Fitness Enthusiast,1,31.61,Health & Beauty,31.61
TEST_TXN_041,CUST_0003,Bread,2025-07-20,Tech Enthusiast,1,3.97,Food & Beverages,3.97
TEST_TXN_041,CUST_0003,Coffee,2025-07-20,Tech Enthusiast,1,13.15,Food & Beverages,13.15
TEST_TXN_042,CUST_0005,Book,2025-07-23,Fashion Conscious,1,88.28,Books & Media,88.28
TEST_TXN_042,CUST_0005,MacBook Pro,2025-07-23,Fashion Conscious,1,1845.26,Electronics,1845.26
TEST_TXN_042,CUST_0005,Coffee,2025-07-23,Fashion Conscious,1,12.62,Food & Beverages,12.62
TEST_TXN_043,CUST_0009,Milk,2025-07-05,Home Cook,1,3.87,Food & Beverages,3.87
TEST_TXN_043,CUST_0009,MacBook Pro,2025-07-05,Home Cook,1,1372.34,Electronics,1372.34
TEST_TXN_043,CUST_0009,Book,2025-07-05,Home Cook,1,89.74,Books & Media,89.74
TEST_TXN_044,CUST_0016,MacBook Pro,2025-07-05,Tech Enthusiast,1,2164.35,Electronics,2164.35
TEST_TXN_044,CUST_0016,Jeans,2025-07-05,Tech Enthusiast,1,42.8,Clothing,42.8
TEST_TXN_044,CUST_0016,Protein Bars,2025-07-05,Tech Enthusiast,1,46.33,Health & Beauty,46.33
TEST_TXN_044,CUST_0016,Bread,2025-07-05,Tech Enthusiast,1,4.02,Food & Beverages,4.02
TEST_TXN_044,CUST_0016,Milk,2025-07-05,Tech Enthusiast,1,4.79,Food & Beverages,4.79
TEST_TXN_045,CUST_0008,T-Shirt,2025-07-12,Home Cook,1,49.72,Clothing,49.72
TEST_TXN_045,CUST_0008,Nike Shoes,2025-07-12,Home Cook,1,125.84,Clothing,125.84
TEST_TXN_045,CUST_0008,Jeans,2025-07-12,Home Cook,1,91.27,Clothing,91.27
TEST_TXN_045,CUST_0008,Coffee,2025-07-12,Home Cook,1,17.79,Food & Beverages,17.79
TEST_TXN_046,CUST_0008,AirPods Pro,2025-07-16,Tech Enthusiast,1,161.05,Electronics,161.05
TEST_TXN_047,CUST_0014,iPhone 15,2025-07-05,Book Lover,1,987.15,Electronics,987.15
TEST_TXN_047,CUST_0014,T-Shirt,2025-07-05,Book Lover,1,49.53,Clothing,49.53
TEST_TXN_048,CUST_0013,AirPods Pro,2025-07-01,Fashion Conscious,1,191.75,Electronics,191.75
TEST_TXN_048,CUST_0013,T-Shirt,2025-07-01,Fashion Conscious,1,28.42,Clothing,28.42
TEST_TXN_048,CUST_0013,Nike Shoes,2025-07-01,Fashion Conscious,1,193.58,Clothing,193.58
TEST_TXN_048,CUST_0013,Milk,2025-07-01,Fashion Conscious,1,5.94,Food & Beverages,5.94
TEST_TXN_049,CUST_0019,Jeans,2025-07-12,Fitness Enthusiast,1,119.54,Clothing,119.54
TEST_TXN_050,CUST_0017,MacBook Pro,2025-07-02,Fashion Conscious,1,1767.71,Electronics,1767.71
TEST_TXN_050,CUST_0017,Shampoo,2025-07-02,Fashion Conscious,1,12.46,Health & Beauty,12.46
TEST_TXN_050,CUST_0017,AirPods Pro,2025-07-02,Fashion Conscious,1,226.63,Electronics,226.63
TEST_TXN_050,CUST_0017,Book,2025-07-02,Fashion Conscious,1,56.22,Books & Media,56.22
TEST_TXN_050,CUST_0017,T-Shirt,2025-07-02,Fashion Conscious,1,22.74,Clothing,22.74
