transaction_id,date,customer_id,product_name,category,quantity,unit_price,total_amount,customer_segment,store_location
TXN001,2024-01-15,CUST001,Wireless Headphones,Electronics,1,89.99,89.99,Tech Enthusiasts,Store A
TXN002,2024-01-15,CUST001,Smartphone Case,Electronics,1,24.99,24.99,Tech Enthusiasts,Store A
TXN003,2024-01-16,CUST002,Coffee Maker,Appliances,1,129.99,129.99,Home & Office,Store B
TXN004,2024-01-16,CUST002,Coffee Beans,Food & Beverage,2,12.99,25.98,Home & Office,Store B
TXN005,2024-01-16,CUST002,Coffee Filters,Appliances,1,8.99,8.99,Home & Office,Store B
TXN006,2024-01-17,CUST003,Yoga Mat,Fitness,1,35.99,35.99,Fitness Focused,Store C
TXN007,2024-01-17,CUST003,Water Bottle,Fitness,1,19.99,19.99,Fitness Focused,Store C
TXN010,2024-01-18,CUST004,Monitor Stand,Furniture,1,79.99,79.99,Home & Office,Store A
TXN011,2024-01-19,CUST005,Running Shoes,Fitness,1,119.99,119.99,Fitness Focused,Store B
TXN012,2024-01-19,CUST005,Athletic Socks,Clothing,3,9.99,29.97,Fitness Focused,Store B
TXN013,2024-01-19,CUST005,Water Bottle,Fitness,1,19.99,19.99,Fitness Focused,Store B
TXN014,2024-01-20,CUST006,Bluetooth Speaker,Electronics,1,59.99,59.99,Tech Enthusiasts,Store C
TXN015,2024-01-20,CUST006,Phone Charger,Electronics,1,19.99,19.99,Tech Enthusiasts,Store C
TXN016,2024-01-21,CUST007,Kitchen Scale,Appliances,1,29.99,29.99,Occasional Buyers,Store A
TXN017,2024-01-22,CUST008,Wireless Headphones,Electronics,1,89.99,89.99,Tech Enthusiasts,Store B
TXN018,2024-01-22,CUST008,Bluetooth Adapter,Electronics,1,15.99,15.99,Tech Enthusiasts,Store B
TXN019,2024-01-23,CUST009,Coffee Maker,Appliances,1,129.99,129.99,Home & Office,Store C
TXN020,2024-01-23,CUST009,Milk Frother,Appliances,1,34.99,34.99,Home & Office,Store C
TXN021,2024-01-24,CUST010,Yoga Mat,Fitness,1,35.99,35.99,Fitness Focused,Store A
TXN022,2024-01-24,CUST010,Resistance Bands,Fitness,1,24.99,24.99,Fitness Focused,Store A
TXN023,2024-01-24,CUST010,Yoga Blocks,Fitness,2,12.99,25.98,Fitness Focused,Store A
TXN024,2024-01-25,CUST011,Desk Organizer,Office Supplies,1,22.99,22.99,Occasional Buyers,Store B
TXN025,2024-01-26,CUST012,Office Chair,Furniture,1,299.99,299.99,Home & Office,Store C
TXN026,2024-01-26,CUST012,Desk Lamp,Furniture,1,45.99,45.99,Home & Office,Store C
TXN027,2024-01-27,CUST013,Wireless Headphones,Electronics,1,89.99,89.99,Tech Enthusiasts,Store A
TXN028,2024-01-27,CUST013,Smartphone Case,Electronics,1,24.99,24.99,Tech Enthusiasts,Store A
TXN029,2024-01-27,CUST013,Phone Charger,Electronics,1,19.99,19.99,Tech Enthusiasts,Store A
TXN030,2024-01-28,CUST014,Running Shoes,Fitness,1,119.99,119.99,Fitness Focused,Store B
TXN031,2024-01-29,CUST015,Coffee Maker,Appliances,1,129.99,129.99,Home & Office,Store A
TXN032,2024-01-29,CUST015,Coffee Beans,Food & Beverage,3,12.99,38.97,Home & Office,Store A
TXN033,2024-01-30,CUST016,Water Bottle,Fitness,2,19.99,39.98,Occasional Buyers,Store C
TXN034,2024-02-01,CUST017,Bluetooth Speaker,Electronics,1,59.99,59.99,Tech Enthusiasts,Store B
TXN035,2024-02-02,CUST018,Kitchen Scale,Appliances,1,29.99,29.99,Occasional Buyers,Store A
TXN036,2024-02-03,CUST019,Yoga Mat,Fitness,1,35.99,35.99,Fitness Focused,Store C
TXN037,2024-02-03,CUST019,Water Bottle,Fitness,1,19.99,19.99,Fitness Focused,Store C
TXN038,2024-02-04,CUST020,Office Chair,Furniture,1,299.99,299.99,Home & Office,Store B
TXN039,2024-02-04,CUST020,Monitor Stand,Furniture,1,79.99,79.99,Home & Office,Store B
TXN040,2024-02-05,CUST021,Wireless Headphones,Electronics,1,89.99,89.99,Tech Enthusiasts,Store A
TXN041,2024-02-06,CUST022,Running Shoes,Fitness,1,119.99,119.99,Fitness Focused,Store C
TXN042,2024-02-06,CUST022,Athletic Socks,Clothing,2,9.99,19.98,Fitness Focused,Store C
TXN043,2024-02-07,CUST023,Coffee Maker,Appliances,1,129.99,129.99,Home & Office,Store A
TXN044,2024-02-07,CUST023,Coffee Filters,Appliances,2,8.99,17.98,Home & Office,Store A
TXN045,2024-02-08,CUST024,Desk Organizer,Office Supplies,1,22.99,22.99,Occasional Buyers,Store B
TXN046,2024-02-09,CUST025,Bluetooth Speaker,Electronics,1,59.99,59.99,Tech Enthusiasts,Store C
TXN047,2024-02-09,CUST025,Phone Charger,Electronics,1,19.99,19.99,Tech Enthusiasts,Store C
TXN048,2024-02-10,CUST026,Yoga Mat,Fitness,1,35.99,35.99,Fitness Focused,Store A
TXN049,2024-02-11,CUST027,Kitchen Scale,Appliances,1,29.99,29.99,Occasional Buyers,Store B
TXN050,2024-02-12,CUST028,Office Chair,Furniture,1,299.99,299.99,Home & Office,Store C
TXN051,2024-02-13,CUST029,Wireless Headphones,Electronics,1,89.99,89.99,Tech Enthusiasts,Store A
TXN052,2024-02-13,CUST029,Smartphone Case,Electronics,1,24.99,24.99,Tech Enthusiasts,Store A
TXN053,2024-02-14,CUST030,Running Shoes,Fitness,1,119.99,119.99,Fitness Focused,Store B
TXN054,2024-02-15,CUST031,Coffee Maker,Appliances,1,129.99,129.99,Home & Office,Store C
TXN055,2024-02-15,CUST031,Coffee Beans,Food & Beverage,1,12.99,12.99,Home & Office,Store C
TXN056,2024-02-16,CUST032,Water Bottle,Fitness,1,19.99,19.99,Occasional Buyers,Store A
TXN057,2024-02-17,CUST033,Bluetooth Speaker,Electronics,1,59.99,59.99,Tech Enthusiasts,Store B
TXN058,2024-02-18,CUST034,Yoga Mat,Fitness,1,35.99,35.99,Fitness Focused,Store C
TXN059,2024-02-18,CUST034,Resistance Bands,Fitness,1,24.99,24.99,Fitness Focused,Store C
TXN060,2024-02-19,CUST035,Office Chair,Furniture,1,299.99,299.99,Home & Office,Store A
TXN061,2024-02-20,CUST036,Wireless Headphones,Electronics,1,89.99,89.99,Tech Enthusiasts,Store B
TXN062,2024-02-21,CUST037,Kitchen Scale,Appliances,1,29.99,29.99,Occasional Buyers,Store C
TXN063,2024-02-22,CUST038,Running Shoes,Fitness,1,119.99,119.99,Fitness Focused,Store A
TXN064,2024-02-22,CUST038,Water Bottle,Fitness,1,19.99,19.99,Fitness Focused,Store A
TXN065,2024-02-23,CUST039,Coffee Maker,Appliances,1,129.99,129.99,Home & Office,Store B
TXN066,2024-02-24,CUST040,Desk Organizer,Office Supplies,1,22.99,22.99,Occasional Buyers,Store C
TXN067,2024-02-25,CUST041,Bluetooth Speaker,Electronics,1,59.99,59.99,Tech Enthusiasts,Store A
TXN068,2024-02-25,CUST041,Phone Charger,Electronics,1,19.99,19.99,Tech Enthusiasts,Store A
TXN069,2024-02-26,CUST042,Yoga Mat,Fitness,1,35.99,35.99,Fitness Focused,Store B
TXN070,2024-02-27,CUST043,Office Chair,Furniture,1,299.99,299.99,Home & Office,Store C
TXN071,2024-02-28,CUST044,Wireless Headphones,Electronics,1,89.99,89.99,Tech Enthusiasts,Store A
TXN072,2024-03-01,CUST045,Running Shoes,Fitness,1,119.99,119.99,Fitness Focused,Store B
TXN073,2024-03-02,CUST046,Coffee Maker,Appliances,1,129.99,129.99,Home & Office,Store C
TXN074,2024-03-02,CUST046,Milk Frother,Appliances,1,34.99,34.99,Home & Office,Store C
TXN075,2024-03-03,CUST047,Kitchen Scale,Appliances,1,29.99,29.99,Occasional Buyers,Store A
TXN076,2024-03-04,CUST048,Bluetooth Speaker,Electronics,1,59.99,59.99,Tech Enthusiasts,Store B
TXN077,2024-03-05,CUST049,Yoga Mat,Fitness,1,35.99,35.99,Fitness Focused,Store C
TXN078,2024-03-05,CUST049,Water Bottle,Fitness,1,19.99,19.99,Fitness Focused,Store C
TXN079,2024-03-06,CUST050,Office Chair,Furniture,1,299.99,299.99,Home & Office,Store A
TXN080,2024-03-07,CUST001,Wireless Headphones,Electronics,1,89.99,89.99,Tech Enthusiasts,Store B
TXN081,2024-03-08,CUST002,Coffee Maker,Appliances,1,129.99,129.99,Home & Office,Store C
TXN082,2024-03-09,CUST003,Running Shoes,Fitness,1,119.99,119.99,Fitness Focused,Store A
TXN083,2024-03-10,CUST004,Desk Lamp,Furniture,1,45.99,45.99,Home & Office,Store B
TXN084,2024-03-11,CUST005,Water Bottle,Fitness,1,19.99,19.99,Fitness Focused,Store C
TXN085,2024-03-12,CUST006,Bluetooth Speaker,Electronics,1,59.99,59.99,Tech Enthusiasts,Store A
TXN086,2024-03-13,CUST007,Kitchen Scale,Appliances,1,29.99,29.99,Occasional Buyers,Store B
TXN087,2024-03-14,CUST008,Yoga Mat,Fitness,1,35.99,35.99,Fitness Focused,Store C
TXN088,2024-03-15,CUST009,Office Chair,Furniture,1,299.99,299.99,Home & Office,Store A
TXN089,2024-03-16,CUST010,Wireless Headphones,Electronics,1,89.99,89.99,Tech Enthusiasts,Store B
TXN090,2024-03-17,CUST011,Coffee Maker,Appliances,1,129.99,129.99,Home & Office,Store C
TXN091,2024-03-18,CUST012,Running Shoes,Fitness,1,119.99,119.99,Fitness Focused,Store A
TXN092,2024-03-19,CUST013,Bluetooth Speaker,Electronics,1,59.99,59.99,Tech Enthusiasts,Store B
TXN093,2024-03-20,CUST014,Yoga Mat,Fitness,1,35.99,35.99,Fitness Focused,Store C
TXN094,2024-03-21,CUST015,Kitchen Scale,Appliances,1,29.99,29.99,Occasional Buyers,Store A
TXN095,2024-03-22,CUST016,Office Chair,Furniture,1,299.99,299.99,Home & Office,Store B
TXN096,2024-03-23,CUST017,Wireless Headphones,Electronics,1,89.99,89.99,Tech Enthusiasts,Store C
TXN097,2024-03-24,CUST018,Coffee Maker,Appliances,1,129.99,129.99,Home & Office,Store A
TXN098,2024-03-25,CUST019,Running Shoes,Fitness,1,119.99,119.99,Fitness Focused,Store B
TXN099,2024-03-26,CUST020,Bluetooth Speaker,Electronics,1,59.99,59.99,Tech Enthusiasts,Store C
TXN100,2024-03-27,CUST021,Water Bottle,Fitness,1,19.99,19.99,Fitness Focused,Store A
